"","Position","Gene"
"2611",2611,"MT-RNR2"
"2612",2612,"MT-RNR2"
"2613",2613,"MT-RNR2"
"2614",2614,"MT-RNR2"
"2615",2615,"MT-RNR2"
"2616",2616,"MT-RNR2"
"2617",2617,"MT-RNR2"
"2618",2618,"MT-RNR2"
"2619",2619,"MT-RNR2"
"2620",2620,"MT-RNR2"
"2621",2621,"MT-RNR2"
"2622",2622,"MT-RNR2"
"2623",2623,"MT-RNR2"
"2624",2624,"MT-RNR2"
"2625",2625,"MT-RNR2"
"2626",2626,"MT-RNR2"
"2627",2627,"MT-RNR2"
"2628",2628,"MT-RNR2"
"2629",2629,"MT-RNR2"
"2630",2630,"MT-RNR2"
"2631",2631,"MT-RNR2"
"2632",2632,"MT-RNR2"
"2633",2633,"MT-RNR2"
"2634",2634,"MT-RNR2"
"2635",2635,"MT-RNR2"
"2636",2636,"MT-RNR2"
"2637",2637,"MT-RNR2"
"2638",2638,"MT-RNR2"
"2639",2639,"MT-RNR2"
"2640",2640,"MT-RNR2"
"2641",2641,"MT-RNR2"
"2642",2642,"MT-RNR2"
"2643",2643,"MT-RNR2"
"2644",2644,"MT-RNR2"
"2645",2645,"MT-RNR2"
"2646",2646,"MT-RNR2"
"2647",2647,"MT-RNR2"
"2648",2648,"MT-RNR2"
"2649",2649,"MT-RNR2"
"2650",2650,"MT-RNR2"
"2651",2651,"MT-RNR2"
"2652",2652,"MT-RNR2"
"2653",2653,"MT-RNR2"
"2654",2654,"MT-RNR2"
"2655",2655,"MT-RNR2"
"2656",2656,"MT-RNR2"
"2657",2657,"MT-RNR2"
"2658",2658,"MT-RNR2"
"2659",2659,"MT-RNR2"
"2660",2660,"MT-RNR2"
"2661",2661,"MT-RNR2"
"2662",2662,"MT-RNR2"
"2663",2663,"MT-RNR2"
"2664",2664,"MT-RNR2"
"2665",2665,"MT-RNR2"
"2666",2666,"MT-RNR2"
"2667",2667,"MT-RNR2"
"2668",2668,"MT-RNR2"
"2669",2669,"MT-RNR2"
"2670",2670,"MT-RNR2"
"2671",2671,"MT-RNR2"
"2672",2672,"MT-RNR2"
"2673",2673,"MT-RNR2"
"2674",2674,"MT-RNR2"
"2675",2675,"MT-RNR2"
"2676",2676,"MT-RNR2"
"2677",2677,"MT-RNR2"
"2678",2678,"MT-RNR2"
"2679",2679,"MT-RNR2"
"2680",2680,"MT-RNR2"
"2681",2681,"MT-RNR2"
"2682",2682,"MT-RNR2"
"2683",2683,"MT-RNR2"
"2684",2684,"MT-RNR2"
"2685",2685,"MT-RNR2"
"2686",2686,"MT-RNR2"
"2687",2687,"MT-RNR2"
"2688",2688,"MT-RNR2"
"2689",2689,"MT-RNR2"
"2690",2690,"MT-RNR2"
"2691",2691,"MT-RNR2"
"2692",2692,"MT-RNR2"
"2693",2693,"MT-RNR2"
"2694",2694,"MT-RNR2"
"2695",2695,"MT-RNR2"
"2696",2696,"MT-RNR2"
"2697",2697,"MT-RNR2"
"2698",2698,"MT-RNR2"
"2699",2699,"MT-RNR2"
"2700",2700,"MT-RNR2"
"2701",2701,"MT-RNR2"
"2702",2702,"MT-RNR2"
"2703",2703,"MT-RNR2"
"2704",2704,"MT-RNR2"
"2705",2705,"MT-RNR2"
"2706",2706,"MT-RNR2"
"2707",2707,"MT-RNR2"
"2708",2708,"MT-RNR2"
"2709",2709,"MT-RNR2"
"2710",2710,"MT-RNR2"
"2711",2711,"MT-RNR2"
"2712",2712,"MT-RNR2"
"2713",2713,"MT-RNR2"
"2714",2714,"MT-RNR2"
"2715",2715,"MT-RNR2"
"2716",2716,"MT-RNR2"
"2717",2717,"MT-RNR2"
"2718",2718,"MT-RNR2"
"2719",2719,"MT-RNR2"
"2720",2720,"MT-RNR2"
"2721",2721,"MT-RNR2"
"2722",2722,"MT-RNR2"
"2723",2723,"MT-RNR2"
"2724",2724,"MT-RNR2"
"2725",2725,"MT-RNR2"
"2726",2726,"MT-RNR2"
"2727",2727,"MT-RNR2"
"2728",2728,"MT-RNR2"
"2729",2729,"MT-RNR2"
"2730",2730,"MT-RNR2"
"2731",2731,"MT-RNR2"
"2732",2732,"MT-RNR2"
"2733",2733,"MT-RNR2"
"2734",2734,"MT-RNR2"
"2735",2735,"MT-RNR2"
"2736",2736,"MT-RNR2"
"2737",2737,"MT-RNR2"
"2738",2738,"MT-RNR2"
"2739",2739,"MT-RNR2"
"2740",2740,"MT-RNR2"
"2741",2741,"MT-RNR2"
"2742",2742,"MT-RNR2"
"2743",2743,"MT-RNR2"
"2744",2744,"MT-RNR2"
"2745",2745,"MT-RNR2"
"2746",2746,"MT-RNR2"
"2747",2747,"MT-RNR2"
"2748",2748,"MT-RNR2"
"2749",2749,"MT-RNR2"
"2750",2750,"MT-RNR2"
"2751",2751,"MT-RNR2"
"2752",2752,"MT-RNR2"
"2753",2753,"MT-RNR2"
"2754",2754,"MT-RNR2"
"2755",2755,"MT-RNR2"
"2756",2756,"MT-RNR2"
"2757",2757,"MT-RNR2"
"2758",2758,"MT-RNR2"
"2759",2759,"MT-RNR2"
"2760",2760,"MT-RNR2"
"2761",2761,"MT-RNR2"
"2762",2762,"MT-RNR2"
"2763",2763,"MT-RNR2"
"2764",2764,"MT-RNR2"
"2765",2765,"MT-RNR2"
"2766",2766,"MT-RNR2"
"2767",2767,"MT-RNR2"
"2768",2768,"MT-RNR2"
"2769",2769,"MT-RNR2"
"2770",2770,"MT-RNR2"
"2771",2771,"MT-RNR2"
"2772",2772,"MT-RNR2"
"2773",2773,"MT-RNR2"
"2774",2774,"MT-RNR2"
"2775",2775,"MT-RNR2"
"2776",2776,"MT-RNR2"
"2777",2777,"MT-RNR2"
"2778",2778,"MT-RNR2"
"2779",2779,"MT-RNR2"
"2780",2780,"MT-RNR2"
"2781",2781,"MT-RNR2"
"2782",2782,"MT-RNR2"
"2783",2783,"MT-RNR2"
"2784",2784,"MT-RNR2"
"2785",2785,"MT-RNR2"
"2786",2786,"MT-RNR2"
"2787",2787,"MT-RNR2"
"2788",2788,"MT-RNR2"
"2789",2789,"MT-RNR2"
"2790",2790,"MT-RNR2"
"2791",2791,"MT-RNR2"
"2792",2792,"MT-RNR2"
"2793",2793,"MT-RNR2"
"2794",2794,"MT-RNR2"
"2795",2795,"MT-RNR2"
"2796",2796,"MT-RNR2"
"2797",2797,"MT-RNR2"
"2798",2798,"MT-RNR2"
"2799",2799,"MT-RNR2"
"2800",2800,"MT-RNR2"
"2801",2801,"MT-RNR2"
"2802",2802,"MT-RNR2"
"2803",2803,"MT-RNR2"
"2804",2804,"MT-RNR2"
"2805",2805,"MT-RNR2"
"2806",2806,"MT-RNR2"
"2807",2807,"MT-RNR2"
"2808",2808,"MT-RNR2"
"2809",2809,"MT-RNR2"
"2810",2810,"MT-RNR2"
"2811",2811,"MT-RNR2"
"2812",2812,"MT-RNR2"
"2813",2813,"MT-RNR2"
"2814",2814,"MT-RNR2"
"2815",2815,"MT-RNR2"
"2816",2816,"MT-RNR2"
"2817",2817,"MT-RNR2"
"2818",2818,"MT-RNR2"
"2819",2819,"MT-RNR2"
"2820",2820,"MT-RNR2"
"2821",2821,"MT-RNR2"
"2822",2822,"MT-RNR2"
"2823",2823,"MT-RNR2"
"2824",2824,"MT-RNR2"
"2825",2825,"MT-RNR2"
"2826",2826,"MT-RNR2"
"2827",2827,"MT-RNR2"
"2828",2828,"MT-RNR2"
"2829",2829,"MT-RNR2"
"2830",2830,"MT-RNR2"
"2831",2831,"MT-RNR2"
"2832",2832,"MT-RNR2"
"2833",2833,"MT-RNR2"
"2834",2834,"MT-RNR2"
"2835",2835,"MT-RNR2"
"2836",2836,"MT-RNR2"
"2837",2837,"MT-RNR2"
"2838",2838,"MT-RNR2"
"2839",2839,"MT-RNR2"
"2840",2840,"MT-RNR2"
"2841",2841,"MT-RNR2"
"2842",2842,"MT-RNR2"
"2843",2843,"MT-RNR2"
"2844",2844,"MT-RNR2"
"2845",2845,"MT-RNR2"
"2846",2846,"MT-RNR2"
"2847",2847,"MT-RNR2"
"2848",2848,"MT-RNR2"
"2849",2849,"MT-RNR2"
"2850",2850,"MT-RNR2"
"2851",2851,"MT-RNR2"
"2852",2852,"MT-RNR2"
"2853",2853,"MT-RNR2"
"2854",2854,"MT-RNR2"
"2855",2855,"MT-RNR2"
"2856",2856,"MT-RNR2"
"2857",2857,"MT-RNR2"
"2858",2858,"MT-RNR2"
"2859",2859,"MT-RNR2"
"2860",2860,"MT-RNR2"
"2861",2861,"MT-RNR2"
"2862",2862,"MT-RNR2"
"2863",2863,"MT-RNR2"
"2864",2864,"MT-RNR2"
"2865",2865,"MT-RNR2"
"2866",2866,"MT-RNR2"
"2867",2867,"MT-RNR2"
"2868",2868,"MT-RNR2"
"2869",2869,"MT-RNR2"
"2870",2870,"MT-RNR2"
"2871",2871,"MT-RNR2"
"2872",2872,"MT-RNR2"
"2873",2873,"MT-RNR2"
"2874",2874,"MT-RNR2"
"2875",2875,"MT-RNR2"
"2876",2876,"MT-RNR2"
"2877",2877,"MT-RNR2"
"2878",2878,"MT-RNR2"
"2879",2879,"MT-RNR2"
"2880",2880,"MT-RNR2"
"2881",2881,"MT-RNR2"
"2882",2882,"MT-RNR2"
"2883",2883,"MT-RNR2"
"2884",2884,"MT-RNR2"
"2885",2885,"MT-RNR2"
"2886",2886,"MT-RNR2"
"2887",2887,"MT-RNR2"
"2888",2888,"MT-RNR2"
"2889",2889,"MT-RNR2"
"2890",2890,"MT-RNR2"
"2891",2891,"MT-RNR2"
"2892",2892,"MT-RNR2"
"2893",2893,"MT-RNR2"
"2894",2894,"MT-RNR2"
"2895",2895,"MT-RNR2"
"2896",2896,"MT-RNR2"
"2897",2897,"MT-RNR2"
"2898",2898,"MT-RNR2"
"2899",2899,"MT-RNR2"
"2900",2900,"MT-RNR2"
"2901",2901,"MT-RNR2"
"2902",2902,"MT-RNR2"
"2903",2903,"MT-RNR2"
"2904",2904,"MT-RNR2"
"2905",2905,"MT-RNR2"
"2906",2906,"MT-RNR2"
"2907",2907,"MT-RNR2"
"2908",2908,"MT-RNR2"
"2909",2909,"MT-RNR2"
"2910",2910,"MT-RNR2"
"2911",2911,"MT-RNR2"
"2912",2912,"MT-RNR2"
"2913",2913,"MT-RNR2"
"2914",2914,"MT-RNR2"
"2915",2915,"MT-RNR2"
"2916",2916,"MT-RNR2"
"2917",2917,"MT-RNR2"
"2918",2918,"MT-RNR2"
"2919",2919,"MT-RNR2"
"2920",2920,"MT-RNR2"
"2921",2921,"MT-RNR2"
"2922",2922,"MT-RNR2"
"2923",2923,"MT-RNR2"
"2924",2924,"MT-RNR2"
"2925",2925,"MT-RNR2"
"2926",2926,"MT-RNR2"
"2927",2927,"MT-RNR2"
"2928",2928,"MT-RNR2"
"2929",2929,"MT-RNR2"
"2930",2930,"MT-RNR2"
"2931",2931,"MT-RNR2"
"2932",2932,"MT-RNR2"
"2933",2933,"MT-RNR2"
"2934",2934,"MT-RNR2"
"2935",2935,"MT-RNR2"
"2936",2936,"MT-RNR2"
"2937",2937,"MT-RNR2"
"2938",2938,"MT-RNR2"
"2939",2939,"MT-RNR2"
"2940",2940,"MT-RNR2"
"2941",2941,"MT-RNR2"
"2942",2942,"MT-RNR2"
"2943",2943,"MT-RNR2"
"2944",2944,"MT-RNR2"
"2945",2945,"MT-RNR2"
"2946",2946,"MT-RNR2"
"2947",2947,"MT-RNR2"
"2948",2948,"MT-RNR2"
"2949",2949,"MT-RNR2"
"2950",2950,"MT-RNR2"
"2951",2951,"MT-RNR2"
"2952",2952,"MT-RNR2"
"2953",2953,"MT-RNR2"
"2954",2954,"MT-RNR2"
"2955",2955,"MT-RNR2"
"2956",2956,"MT-RNR2"
"2957",2957,"MT-RNR2"
"2958",2958,"MT-RNR2"
"2959",2959,"MT-RNR2"
"2960",2960,"MT-RNR2"
"2961",2961,"MT-RNR2"
"2962",2962,"MT-RNR2"
"2963",2963,"MT-RNR2"
"2964",2964,"MT-RNR2"
"2965",2965,"MT-RNR2"
"2966",2966,"MT-RNR2"
"2967",2967,"MT-RNR2"
"2968",2968,"MT-RNR2"
"2969",2969,"MT-RNR2"
"2970",2970,"MT-RNR2"
"2971",2971,"MT-RNR2"
"2972",2972,"MT-RNR2"
"2973",2973,"MT-RNR2"
"2974",2974,"MT-RNR2"
"2975",2975,"MT-RNR2"
"2976",2976,"MT-RNR2"
"2977",2977,"MT-RNR2"
"2978",2978,"MT-RNR2"
"2979",2979,"MT-RNR2"
"2980",2980,"MT-RNR2"
"2981",2981,"MT-RNR2"
"2982",2982,"MT-RNR2"
"2983",2983,"MT-RNR2"
"2984",2984,"MT-RNR2"
"2985",2985,"MT-RNR2"
"2986",2986,"MT-RNR2"
"2987",2987,"MT-RNR2"
"2988",2988,"MT-RNR2"
"2989",2989,"MT-RNR2"
"2990",2990,"MT-RNR2"
"2991",2991,"MT-RNR2"
"2992",2992,"MT-RNR2"
"2993",2993,"MT-RNR2"
"2994",2994,"MT-RNR2"
"2995",2995,"MT-RNR2"
"2996",2996,"MT-RNR2"
"2997",2997,"MT-RNR2"
"2998",2998,"MT-RNR2"
"2999",2999,"MT-RNR2"
"3000",3000,"MT-RNR2"
"3001",3001,"MT-RNR2"
"3002",3002,"MT-RNR2"
"3003",3003,"MT-RNR2"
"3004",3004,"MT-RNR2"
"3005",3005,"MT-RNR2"
"3006",3006,"MT-RNR2"
"3007",3007,"MT-RNR2"
"3008",3008,"MT-RNR2"
"3009",3009,"MT-RNR2"
"3010",3010,"MT-RNR2"
"3011",3011,"MT-RNR2"
"3012",3012,"MT-RNR2"
"3013",3013,"MT-RNR2"
"3014",3014,"MT-RNR2"
"3015",3015,"MT-RNR2"
"3016",3016,"MT-RNR2"
"3017",3017,"MT-RNR2"
"3018",3018,"MT-RNR2"
"3019",3019,"MT-RNR2"
"3020",3020,"MT-RNR2"
"3021",3021,"MT-RNR2"
"3022",3022,"MT-RNR2"
"3023",3023,"MT-RNR2"
"3024",3024,"MT-RNR2"
"3025",3025,"MT-RNR2"
"3026",3026,"MT-RNR2"
"3027",3027,"MT-RNR2"
"3028",3028,"MT-RNR2"
"3029",3029,"MT-RNR2"
"3030",3030,"MT-RNR2"
"3031",3031,"MT-RNR2"
"3032",3032,"MT-RNR2"
"3033",3033,"MT-RNR2"
"3034",3034,"MT-RNR2"
"3035",3035,"MT-RNR2"
"3036",3036,"MT-RNR2"
"3037",3037,"MT-RNR2"
"3038",3038,"MT-RNR2"
"3039",3039,"MT-RNR2"
"3040",3040,"MT-RNR2"
"3041",3041,"MT-RNR2"
"3042",3042,"MT-RNR2"
"3043",3043,"MT-RNR2"
"3044",3044,"MT-RNR2"
"3045",3045,"MT-RNR2"
"3046",3046,"MT-RNR2"
"3047",3047,"MT-RNR2"
"3048",3048,"MT-RNR2"
"3049",3049,"MT-RNR2"
"3050",3050,"MT-RNR2"
"3051",3051,"MT-RNR2"
"3052",3052,"MT-RNR2"
"3053",3053,"MT-RNR2"
"3054",3054,"MT-RNR2"
"3055",3055,"MT-RNR2"
"3056",3056,"MT-RNR2"
"3057",3057,"MT-RNR2"
"3058",3058,"MT-RNR2"
"3059",3059,"MT-RNR2"
"3060",3060,"MT-RNR2"
"3061",3061,"MT-RNR2"
"3062",3062,"MT-RNR2"
"3063",3063,"MT-RNR2"
"3064",3064,"MT-RNR2"
"3065",3065,"MT-RNR2"
"3066",3066,"MT-RNR2"
"3067",3067,"MT-RNR2"
"3068",3068,"MT-RNR2"
"3069",3069,"MT-RNR2"
"3070",3070,"MT-RNR2"
"3071",3071,"MT-RNR2"
"3072",3072,"MT-RNR2"
"3073",3073,"MT-RNR2"
"3074",3074,"MT-RNR2"
"3075",3075,"MT-RNR2"
"3076",3076,"MT-RNR2"
"3077",3077,"MT-RNR2"
"3078",3078,"MT-RNR2"
"3079",3079,"MT-RNR2"
"3080",3080,"MT-RNR2"
"3081",3081,"MT-RNR2"
"3082",3082,"MT-RNR2"
"3083",3083,"MT-RNR2"
"3084",3084,"MT-RNR2"
"3085",3085,"MT-RNR2"
"3086",3086,"MT-RNR2"
"3087",3087,"MT-RNR2"
"3088",3088,"MT-RNR2"
"3089",3089,"MT-RNR2"
"3090",3090,"MT-RNR2"
"3091",3091,"MT-RNR2"
"3092",3092,"MT-RNR2"
"3093",3093,"MT-RNR2"
"3094",3094,"MT-RNR2"
"3095",3095,"MT-RNR2"
"3096",3096,"MT-RNR2"
"3097",3097,"MT-RNR2"
"3098",3098,"MT-RNR2"
"3099",3099,"MT-RNR2"
"3100",3100,"MT-RNR2"
"3101",3101,"MT-RNR2"
"3102",3102,"MT-RNR2"
"3103",3103,"MT-RNR2"
"3104",3104,"MT-RNR2"
"3105",3105,"MT-RNR2"
"3106",3106,"MT-RNR2"
"3107",3107,"MT-RNR2"
"3108",3108,"MT-RNR2"
"3109",3109,"MT-RNR2"
"3110",3110,"MT-RNR2"
"3111",3111,"MT-RNR2"
"3112",3112,"MT-RNR2"
"3113",3113,"MT-RNR2"
"3114",3114,"MT-RNR2"
"3115",3115,"MT-RNR2"
"3116",3116,"MT-RNR2"
"3117",3117,"MT-RNR2"
"3118",3118,"MT-RNR2"
"3119",3119,"MT-RNR2"
"3120",3120,"MT-RNR2"
"3121",3121,"MT-RNR2"
"3122",3122,"MT-RNR2"
"3123",3123,"MT-RNR2"
"3124",3124,"MT-RNR2"
"3125",3125,"MT-RNR2"
"3126",3126,"MT-RNR2"
"3127",3127,"MT-RNR2"
"3128",3128,"MT-RNR2"
"3129",3129,"MT-RNR2"
"3130",3130,"MT-RNR2"
"3131",3131,"MT-RNR2"
"3132",3132,"MT-RNR2"
"3133",3133,"MT-RNR2"
"3134",3134,"MT-RNR2"
"3135",3135,"MT-RNR2"
"3136",3136,"MT-RNR2"
"3137",3137,"MT-RNR2"
"3138",3138,"MT-RNR2"
"3139",3139,"MT-RNR2"
"3140",3140,"MT-RNR2"
"3141",3141,"MT-RNR2"
"3142",3142,"MT-RNR2"
"3143",3143,"MT-RNR2"
"3144",3144,"MT-RNR2"
"3145",3145,"MT-RNR2"
"3146",3146,"MT-RNR2"
"3147",3147,"MT-RNR2"
"3148",3148,"MT-RNR2"
"3149",3149,"MT-RNR2"
"3150",3150,"MT-RNR2"
"3151",3151,"MT-RNR2"
"3152",3152,"MT-RNR2"
"3153",3153,"MT-RNR2"
"3154",3154,"MT-RNR2"
"3155",3155,"MT-RNR2"
"3156",3156,"MT-RNR2"
"3157",3157,"MT-RNR2"
"3158",3158,"MT-RNR2"
"3159",3159,"MT-RNR2"
"3160",3160,"MT-RNR2"
"3161",3161,"MT-RNR2"
"3162",3162,"MT-RNR2"
"3163",3163,"MT-RNR2"
"3164",3164,"MT-RNR2"
"3165",3165,"MT-RNR2"
"3166",3166,"MT-RNR2"
"3167",3167,"MT-RNR2"
"3168",3168,"MT-RNR2"
"3169",3169,"MT-RNR2"
"3170",3170,"MT-RNR2"
"3171",3171,"MT-RNR2"
"3172",3172,"MT-RNR2"
"3173",3173,"MT-RNR2"
"3174",3174,"MT-RNR2"
"3175",3175,"MT-RNR2"
"3176",3176,"MT-RNR2"
"3177",3177,"MT-RNR2"
"3178",3178,"MT-RNR2"
"3179",3179,"MT-RNR2"
"3180",3180,"MT-RNR2"
"3181",3181,"MT-RNR2"
"3182",3182,"MT-RNR2"
"3183",3183,"MT-RNR2"
"3184",3184,"MT-RNR2"
"3185",3185,"MT-RNR2"
"3186",3186,"MT-RNR2"
"3187",3187,"MT-RNR2"
"3188",3188,"MT-RNR2"
"3189",3189,"MT-RNR2"
"3190",3190,"MT-RNR2"
"3191",3191,"MT-RNR2"
"3192",3192,"MT-RNR2"
"3193",3193,"MT-RNR2"
"3194",3194,"MT-RNR2"
"3195",3195,"MT-RNR2"
"3196",3196,"MT-RNR2"
"3197",3197,"MT-RNR2"
"3198",3198,"MT-RNR2"
"3199",3199,"MT-RNR2"
"3200",3200,"MT-RNR2"
"3201",3201,"MT-RNR2"
"3202",3202,"MT-RNR2"
"3203",3203,"MT-RNR2"
"3204",3204,"MT-RNR2"
"3205",3205,"MT-RNR2"
"3206",3206,"MT-RNR2"
"3207",3207,"MT-RNR2"
"3208",3208,"MT-RNR2"
"3209",3209,"MT-RNR2"
"3210",3210,"MT-RNR2"
"3211",3211,"MT-RNR2"
"3212",3212,"MT-RNR2"
"3213",3213,"MT-RNR2"
"3214",3214,"MT-RNR2"
"3215",3215,"MT-RNR2"
"3216",3216,"MT-RNR2"
"3217",3217,"MT-RNR2"
"3218",3218,"MT-RNR2"
"3219",3219,"MT-RNR2"
"3220",3220,"MT-RNR2"
"3221",3221,"MT-RNR2"
"3222",3222,"MT-RNR2"
"3223",3223,"MT-RNR2"
"3224",3224,"MT-RNR2"
"3225",3225,"MT-RNR2"
"3226",3226,"MT-RNR2"
"3227",3227,"MT-RNR2"
"3228",3228,"MT-RNR2"
"3229",3229,"MT-RNR2"
"3230",3230,"MT-TL1"
"3231",3231,"MT-TL1"
"3232",3232,"MT-TL1"
"3233",3233,"MT-TL1"
"3234",3234,"MT-TL1"
"3235",3235,"MT-TL1"
"3236",3236,"MT-TL1"
"3237",3237,"MT-TL1"
"3238",3238,"MT-TL1"
"3239",3239,"MT-TL1"
"3240",3240,"MT-TL1"
"3241",3241,"MT-TL1"
"3242",3242,"MT-TL1"
"3243",3243,"MT-TL1"
"3244",3244,"MT-TL1"
"3245",3245,"MT-TL1"
"3246",3246,"MT-TL1"
"3247",3247,"MT-TL1"
"3248",3248,"MT-TL1"
"3249",3249,"MT-TL1"
"3250",3250,"MT-TL1"
"3251",3251,"MT-TL1"
"3252",3252,"MT-TL1"
"3253",3253,"MT-TL1"
"3254",3254,"MT-TL1"
"3255",3255,"MT-TL1"
"3256",3256,"MT-TL1"
"3257",3257,"MT-TL1"
"3258",3258,"MT-TL1"
"3259",3259,"MT-TL1"
"3260",3260,"MT-TL1"
"3261",3261,"MT-TL1"
"3262",3262,"MT-TL1"
"3263",3263,"MT-TL1"
"3264",3264,"MT-TL1"
"3265",3265,"MT-TL1"
"3266",3266,"MT-TL1"
"3267",3267,"MT-TL1"
"3268",3268,"MT-TL1"
"3269",3269,"MT-TL1"
"3270",3270,"MT-TL1"
"3271",3271,"MT-TL1"
"3272",3272,"MT-TL1"
"3273",3273,"MT-TL1"
"3274",3274,"MT-TL1"
"3275",3275,"MT-TL1"
"3276",3276,"MT-TL1"
"3277",3277,"MT-TL1"
"3278",3278,"MT-TL1"
"3279",3279,"MT-TL1"
"3280",3280,"MT-TL1"
"3281",3281,"MT-TL1"
"3282",3282,"MT-TL1"
"3283",3283,"MT-TL1"
"3284",3284,"MT-TL1"
"3285",3285,"MT-TL1"
"3286",3286,"MT-TL1"
"3287",3287,"MT-TL1"
"3288",3288,"MT-TL1"
"3289",3289,"MT-TL1"
"3290",3290,"MT-TL1"
"3291",3291,"MT-TL1"
"3292",3292,"MT-TL1"
"3293",3293,"MT-TL1"
"3294",3294,"MT-TL1"
"3295",3295,"MT-TL1"
"3296",3296,"MT-TL1"
"3297",3297,"MT-TL1"
"3298",3298,"MT-TL1"
"3299",3299,"MT-TL1"
"3300",3300,"MT-TL1"
"3301",3301,"MT-TL1"
"3302",3302,"MT-TL1"
"3303",3303,"MT-TL1"
"3304",3304,"MT-TL1"
"3305",3305,"None"
"3306",3306,"None"
"3307",3307,"MT-ND1"
"3308",3308,"MT-ND1"
"3309",3309,"MT-ND1"
"3310",3310,"MT-ND1"
"3311",3311,"MT-ND1"
"3312",3312,"MT-ND1"
"3313",3313,"MT-ND1"
"3314",3314,"MT-ND1"
"3315",3315,"MT-ND1"
"3316",3316,"MT-ND1"
"3317",3317,"MT-ND1"
"3318",3318,"MT-ND1"
"3319",3319,"MT-ND1"
"3320",3320,"MT-ND1"
"3321",3321,"MT-ND1"
"3322",3322,"MT-ND1"
"3323",3323,"MT-ND1"
"3324",3324,"MT-ND1"
"3325",3325,"MT-ND1"
"3326",3326,"MT-ND1"
"3327",3327,"MT-ND1"
"3328",3328,"MT-ND1"
"3329",3329,"MT-ND1"
"3330",3330,"MT-ND1"
"3331",3331,"MT-ND1"
"3332",3332,"MT-ND1"
"3333",3333,"MT-ND1"
"3334",3334,"MT-ND1"
"3335",3335,"MT-ND1"
"3336",3336,"MT-ND1"
"3337",3337,"MT-ND1"
"3338",3338,"MT-ND1"
"3339",3339,"MT-ND1"
"3340",3340,"MT-ND1"
"3341",3341,"MT-ND1"
"3342",3342,"MT-ND1"
"3343",3343,"MT-ND1"
"3344",3344,"MT-ND1"
"3345",3345,"MT-ND1"
"3346",3346,"MT-ND1"
"3347",3347,"MT-ND1"
"3348",3348,"MT-ND1"
"3349",3349,"MT-ND1"
"3350",3350,"MT-ND1"
"3351",3351,"MT-ND1"
"3352",3352,"MT-ND1"
"3353",3353,"MT-ND1"
"3354",3354,"MT-ND1"
"3355",3355,"MT-ND1"
"3356",3356,"MT-ND1"
"3357",3357,"MT-ND1"
"3358",3358,"MT-ND1"
"3359",3359,"MT-ND1"
"3360",3360,"MT-ND1"
"3361",3361,"MT-ND1"
"3362",3362,"MT-ND1"
"3363",3363,"MT-ND1"
"3364",3364,"MT-ND1"
"3365",3365,"MT-ND1"
"3366",3366,"MT-ND1"
"3367",3367,"MT-ND1"
"3368",3368,"MT-ND1"
"3369",3369,"MT-ND1"
"3370",3370,"MT-ND1"
"3371",3371,"MT-ND1"
"3372",3372,"MT-ND1"
"3373",3373,"MT-ND1"
"3374",3374,"MT-ND1"
"3375",3375,"MT-ND1"
"3376",3376,"MT-ND1"
"3377",3377,"MT-ND1"
"3378",3378,"MT-ND1"
"3379",3379,"MT-ND1"
"3380",3380,"MT-ND1"
"3381",3381,"MT-ND1"
"3382",3382,"MT-ND1"
"3383",3383,"MT-ND1"
"3384",3384,"MT-ND1"
"3385",3385,"MT-ND1"
"3386",3386,"MT-ND1"
"3387",3387,"MT-ND1"
"3388",3388,"MT-ND1"
"3389",3389,"MT-ND1"
"3390",3390,"MT-ND1"
"3391",3391,"MT-ND1"
"3392",3392,"MT-ND1"
"3393",3393,"MT-ND1"
"3394",3394,"MT-ND1"
"3395",3395,"MT-ND1"
"3396",3396,"MT-ND1"
"3397",3397,"MT-ND1"
"3398",3398,"MT-ND1"
"3399",3399,"MT-ND1"
"3400",3400,"MT-ND1"
"3401",3401,"MT-ND1"
"3402",3402,"MT-ND1"
"3403",3403,"MT-ND1"
"3404",3404,"MT-ND1"
"3405",3405,"MT-ND1"
"3406",3406,"MT-ND1"
"3407",3407,"MT-ND1"
"3408",3408,"MT-ND1"
"3409",3409,"MT-ND1"
"3410",3410,"MT-ND1"
"3411",3411,"MT-ND1"
"3412",3412,"MT-ND1"
"3413",3413,"MT-ND1"
"3414",3414,"MT-ND1"
"3415",3415,"MT-ND1"
"3416",3416,"MT-ND1"
"3417",3417,"MT-ND1"
"3418",3418,"MT-ND1"
"3419",3419,"MT-ND1"
"3420",3420,"MT-ND1"
"3421",3421,"MT-ND1"
"3422",3422,"MT-ND1"
"3423",3423,"MT-ND1"
"3424",3424,"MT-ND1"
"3425",3425,"MT-ND1"
"3426",3426,"MT-ND1"
"3427",3427,"MT-ND1"
"3428",3428,"MT-ND1"
"3429",3429,"MT-ND1"
"3430",3430,"MT-ND1"
"3431",3431,"MT-ND1"
"3432",3432,"MT-ND1"
"3433",3433,"MT-ND1"
"3434",3434,"MT-ND1"
"3435",3435,"MT-ND1"
"3436",3436,"MT-ND1"
"3437",3437,"MT-ND1"
"3438",3438,"MT-ND1"
"3439",3439,"MT-ND1"
"3440",3440,"MT-ND1"
"3441",3441,"MT-ND1"
"3442",3442,"MT-ND1"
"3443",3443,"MT-ND1"
"3444",3444,"MT-ND1"
"3445",3445,"MT-ND1"
"3446",3446,"MT-ND1"
